col1,col2,col3,col4,col5,col6,Outcome
0.5913219617438945,0.29908456492052893,0.055845871510390444,0.48939808737662127,0.990139704494963,0.5682644942441811,1
0.8143130381080345,0.5899737176274943,0.23301063483877993,0.9970466774309898,0.312606768255522,0.06830329050718231,1
0.0021212382104206506,0.9147894417655033,0.3675154037385655,0.04221513215285433,0.47344856813879443,0.6215592747853843,0
0.8918223823329787,0.9396618551321607,0.5914322292028943,0.599699128339269,0.4185722370795838,0.9690289765001,1
0.3131818550226545,0.46129280975296527,0.9485939893185127,0.1012599655404941,0.6582455705394001,0.5270566112320634,0
0.2735195156398098,0.7811935987849246,0.0456005808361416,0.8521917379008089,0.3514367631591392,0.8099728632598189,0
0.6052511336648057,0.2435319115717095,0.13572969464265483,0.8522429351231754,0.25597099490307207,0.7267147299212885,1
0.4711249144228261,0.08042636519577584,0.4819506506343876,0.017768788397033997,0.5880122588101475,0.950551149394118,0
0.19158061956610517,0.6778822675348757,0.6754838941764035,0.7297651787925147,0.9166946383509463,0.1413958437342031,0
0.10667140221767357,0.30067527567239016,0.037630565247348424,0.9181530356597652,0.5871284735812916,0.210446787384024,0
0.30153382096298986,0.6944494783818672,0.5713408909315356,0.15744648652600113,0.7158980486512294,0.10479538141318001,0
0.7998633430609343,0.04526799021073169,0.3352711372177144,0.48489676309577756,0.7691619681768055,0.17574581325784633,1
0.4236329978952038,0.7695134956392915,0.7309434399756708,0.4335140500866952,0.24275134833732714,0.6125221131552794,0
0.1159853218228244,0.9721304586278335,0.06449308675305554,0.755225896043501,0.7722740246634369,0.6855298942013243,0
0.3932484961409347,0.0019138017338031776,0.13722811397482204,0.6103658560435019,0.5712484550741359,0.6658194453281764,0
0.5019126155992756,0.7911914598697042,0.8566320204560118,0.9585029591071731,0.7746449368855831,0.8493187724061438,1
0.9624844517136748,0.6045535219497037,0.5045813397531742,0.667604538923942,0.7585333887856003,0.16007382890139765,1
0.48428923347624697,0.7309759616472693,0.29054723485623035,0.3517257833258247,0.45011067924452286,0.5645455701010998,0
0.9136525860230611,0.3740224550324216,0.4178165577625427,0.6390230705801968,0.8821141714243299,0.8902792274958298,1
0.017835176742581726,0.02506251808444493,0.6045426993723839,0.9626311706506459,0.7224035942462753,0.2264596821307312,0
0.04086033363345798,0.21738457513776122,0.5173591903477167,0.24682139143298887,0.01634001467125401,0.29075260315998686,0
0.5810968963582238,0.835590216076986,0.9578775263928738,0.3911039598786855,0.9187396390805165,0.8372663538316806,1
0.2852843800710787,0.893113087368457,0.7975328445468808,0.23483662696557284,0.8784437082537335,0.11847468041632181,0
0.45562070819084044,0.5814790465211899,0.5774567941998267,0.5984300316436877,0.7846675726301723,0.30658010306812866,0
0.8831829797314693,0.5005418334335974,0.07251256698401443,0.09428462610201505,0.938615479549068,0.9712016946400761,1
0.8506152251966547,0.6799033935632822,0.6356192027663955,0.8517214341216938,0.30966505071787,0.8969804872920554,1
0.8400693921011831,0.3534824299999536,0.6400092202995689,0.037495446088413154,0.0024300121315932177,0.6100704744844574,1
0.2962440633400991,0.6350905421328399,0.5188920674077603,0.7496755575823513,0.545445060873306,0.7133812447720751,0
0.9268070359309312,0.4315878123210797,0.4508095624230052,0.8853688299815289,0.25470428898875386,0.8421173575080402,1
0.04161879635208365,0.48485513761857335,0.9481955952725362,0.09421799933295683,0.745486749104139,0.5630003760028256,0
0.48156949192522425,0.1395547599732876,0.8525488337117908,0.8924090487914622,0.5964908414882912,0.3514466752905193,0
0.10887541911244203,0.46690665466389336,0.1498127312154791,0.837890627789615,0.3091523881309448,0.5209065924719604,0
