col1,col2,Outcome
0.38333987987580986,0.2870233396486884,0
0.4432572396923391,0.17178289047279316,0
0.336710648566249,0.03788595750071655,0
0.4477063405480891,0.3098633845985904,0
0.06453302084060297,0.7053701346734461,0
0.7301335545140023,0.5961481864825195,1
0.5130258328886109,0.26708425043377026,1
0.28646758544030293,0.9202835670421096,0
0.015178702090655194,0.15439921443187865,0
0.8652186220954671,0.1411639039405599,1
0.94601687543823,0.20870322805298858,1
0.1347273593635202,0.8540375671474564,0
0.0697418658767448,0.2494666940149316,0
0.7662508824242625,0.3824726112945942,1
0.3069216692868314,0.1503797925188739,0
0.6355979845650265,0.9832322337259056,1
0.8740398844265037,0.6002038280269424,1
0.741956306434692,0.4743489549073059,1
0.9539972955876841,0.5362236083593854,1
0.08541874261591198,0.6073540059404764,0
0.493219406327414,0.46228863248444474,0
0.7277744374418669,0.4454805263693109,1
0.529509991704993,0.12860628253273865,1
0.8511617036911459,0.7245979646852714,1
0.1263730677142526,0.2248978911757954,0
0.8917352323067492,0.28366754690353446,1
0.32201461266852593,0.8062347878958915,0
0.12330051710383516,0.32857117023867966,0
0.4590088783119466,0.7385655844403215,0
0.666798292789691,0.19842121759898268,1
0.4888965727251857,0.48228156213393036,0
0.1042644809843476,0.12430702413034944,0
0.8146837910296871,0.4970483306150082,1
0.5292630104140903,0.379930301819038,1
0.43625029560173323,0.4121393157679055,0
0.9952384680550582,0.26254212970559654,1
0.8333362546830744,0.8350429856556115,1
0.8294637266468823,0.08515139951412354,1
0.05931392955336623,0.7505004603048712,0
0.9623851397092876,0.3470801734750453,1
0.7443443409523804,0.7882133125656432,1
0.9599242714636123,0.9379328946978835,1
0.3770841255944045,0.555846949866889,0
0.5537452493833316,0.986414540041639,1
0.981489624765722,0.834274852017944,1
0.925366162534669,0.06793439647790389,1
0.10914300994106363,0.4270382716494995,0
0.12031873510899405,0.43058187173359175,0
0.4772898260450197,0.008896489477507652,0
0.23103445804202172,0.14243118767425955,0
0.24947538401866587,0.6412725513566454,0
0.642958091473099,0.6160704026746694,1
0.1913301013381532,0.07509887205278132,0
0.6400714829982735,0.9129913887060113,1
0.43987392980668094,0.6688589812884631,0
0.2106499878482162,0.6895498511683101,0
0.696299116059667,0.632042755591618,1
0.9593557870733543,0.45746832828896555,1
0.44688742077167454,0.5388985258368835,0
0.6187092234076363,0.028404997896866457,1
0.19510331976991302,0.7046660670066386,0
0.14792743058749636,0.7519136583872841,0
0.10618929884110329,0.7874607838924103,0
0.7800427850596324,0.02662568433260548,1
0.056576126034187935,0.13765825147601607,0
0.043419947527239655,0.09133289327642302,0
0.77032985690283,0.17593724565921598,1
0.8274314534086873,0.04177534487812651,1
0.7700865422297545,0.2313588894140578,1
0.712191907675649,0.7703415397099873,1
0.44618623208910435,0.8935601098409035,0
0.4723138662375719,0.9969838255108086,0
0.9908587929015862,0.944613118832687,1
0.2102963204484697,0.6862848344295881,0
0.020094207699959177,0.5770095138816487,0
0.12752593014588487,0.14667654987806478,0
0.604860780600138,0.06228950862034921,1
0.31869263997879427,0.44433151259711134,0
0.1000727885166438,0.6963867001623655,0
0.7209553423327677,0.7017986522000226,1
0.20159031616015977,0.346785334220716,0
0.18027724271187828,0.7880654465239989,0
0.14814423202357074,0.9815806104010517,0
0.4730370325914778,0.2868014496894532,0
0.17378558150218382,0.27182660887829513,0
0.6735084614438719,0.8723459070035126,1
0.9385422288896194,0.09473976005020246,1
0.9218817355756812,0.09898185874834753,1
0.44017876073795137,0.937227724425524,0
0.20003488142490877,0.517177353055188,0
0.8267760390571779,0.9675536750738895,1
0.9332156784700766,0.14678029392400938,1
0.19403106190154906,0.19191194852326743,0
0.9918891906849817,0.762853939986388,1
0.2912989578914301,0.16011182354797293,0
0.9988575772928112,0.951811620949142,1
0.974262310063147,0.9442816393866228,1
0.1235969487692492,0.214449571508057,0
0.2423425455021686,0.5274946427823066,0
0.2550450260318162,0.9201490040127305,0
0.7597630419536606,0.24364903309732056,1
0.7170899670440195,0.464190972472006,1
0.2532276440158542,0.5678367484921876,0
0.3293395382185218,0.9393639102310248,0
0.8571130168299969,0.5495272201640892,1
0.27347985886164894,0.1217151033324152,0
0.028101681917300114,0.2429097641097563,0
0.10726074039627898,0.8481448335740955,0
0.10085223186963688,0.40212337078985616,0
0.3379099650497567,0.3679267376562838,0
0.32806268286114726,0.5386911057278962,0
0.6868695619833044,0.07868415039841392,1
0.047116795378517096,0.7286550114143063,0
0.2840449607850566,0.5030582058039791,0
0.9891633514937527,0.004673729199660692,1
0.7011503276216874,0.7033205829458977,1
0.6199763485543437,0.4315729709503566,1
0.6734769880578698,0.3608143369424277,1
